subject,runtype,smoothing,median_rel,mean_rel,ROI,run
03,er,sm_2_vox,0.06499893472599066,0.0584799341230444,EBA,1
03,er,sm_2_vox,0.036487665570309705,0.036690239539238154,EBA,2
03,er,sm_2_vox,0.010376448455032238,0.00890435226212567,EBA,3
03,miniblock,unsmoothed,0.04374254404346448,0.04992119840750949,EVC,1
03,miniblock,unsmoothed,-0.007002469055916033,-0.004745211521552457,EVC,2
03,miniblock,unsmoothed,0.03345714566449174,0.03629072201097512,EVC,3
03,miniblock,sm_2_vox,0.1097359886197146,0.12242070879887876,EVC,1
03,miniblock,sm_2_vox,0.07099213382596742,0.07928513483972324,EVC,2
03,miniblock,sm_2_vox,0.09455460119097203,0.11919661912295541,EVC,3
03,sus,unsmoothed,0.024818177605730265,0.029988286797764524,EVC,1
03,sus,unsmoothed,0.010623358939898825,0.012909591702275056,EVC,2
03,sus,unsmoothed,0.03509320452956556,0.03683575998572821,EVC,3
03,sus,sm_2_vox,0.077766313919718,0.08382892941962031,EVC,1
03,sus,sm_2_vox,0.046566803767107985,0.05012694497112416,EVC,2
03,sus,sm_2_vox,0.12348235342570632,0.12309954807716413,EVC,3
03,er,unsmoothed,0.011160646287558133,0.00837947615300554,EVC,1
03,er,unsmoothed,0.0467772643101809,0.043577856910408316,EVC,2
03,er,unsmoothed,-0.04179235212991256,-0.04145539359098143,EVC,3
03,er,sm_2_vox,0.051348218373247705,0.04629369437044607,EVC,1
03,er,sm_2_vox,0.060187678072594224,0.05786266895688554,EVC,2
03,er,sm_2_vox,0.0005050887224796463,0.0027195731465569847,EVC,3
04,miniblock,unsmoothed,0.031599702716074825,0.03512189360795621,visually_responsive_voxels,1
04,miniblock,unsmoothed,0.024492022801231566,0.024754954400433373,visually_responsive_voxels,2
04,miniblock,unsmoothed,0.014377556449184141,0.015785573888761666,visually_responsive_voxels,3
04,miniblock,sm_2_vox,0.0661425139042211,0.07341518953709518,visually_responsive_voxels,1
04,miniblock,sm_2_vox,0.04950067938362617,0.050249543082888565,visually_responsive_voxels,2
04,miniblock,sm_2_vox,0.021702788965510953,0.02096824922135263,visually_responsive_voxels,3
04,sus,unsmoothed,-0.0016998006941688036,-0.001465246956567701,visually_responsive_voxels,1
04,sus,unsmoothed,0.00529041642838597,0.00576635005551856,visually_responsive_voxels,2
04,sus,unsmoothed,-0.009928755688385998,-0.010233782847462208,visually_responsive_voxels,3
04,sus,sm_2_vox,-0.01972713931334564,-0.016635606093992006,visually_responsive_voxels,1
