,ROI,runtype,component,value
54,PPA,sus,16,0.5383428140284179
55,PPA,sus,17,0.5446448879910367
56,PPA,sus,18,0.5510537353060474
57,PPA,sus,19,0.5563745553744905
58,PPA,sus,20,0.561056811721502
59,PPA,sus,21,0.5657243122797525
60,PPA,sus,22,0.5703610369701221
61,PPA,sus,23,0.5748368246734824
62,PPA,sus,24,0.5788530731413233
63,PPA,sus,25,0.5827420329371746
64,PPA,sus,26,0.5866463299523457
65,PPA,sus,27,0.5902390887062964
66,PPA,sus,28,0.5936444828058602
67,PPA,sus,29,0.5968937259267333
68,PPA,sus,30,0.5999513218290389
69,PPA,sus,31,0.6028681973866863
70,PPA,sus,32,0.6059353597047245
71,PPA,sus,33,0.6086888256168181
72,PPA,sus,34,0.6114794505789212
73,PPA,sus,35,0.6140364782180627
74,PPA,sus,36,0.6164188584600783
75,PPA,sus,37,0.6186879357553587
76,PPA,sus,38,0.620863227069544
77,PPA,sus,39,0.6231218494113884
78,EBA,sus,1,0.3363110229489219
79,EBA,sus,2,0.3985703019296355
80,EBA,sus,3,0.43415541220068804
81,EBA,sus,4,0.4599223864801035
82,EBA,sus,5,0.4803591717685058
83,EBA,sus,6,0.4972389620324794
84,EBA,sus,7,0.5119528029017256
85,EBA,sus,8,0.522629830730095
86,EBA,sus,9,0.5326450312581849
87,EBA,sus,10,0.5414457124436114
88,EBA,sus,11,0.5488981389523564
89,EBA,sus,12,0.5552125145752725
90,EBA,sus,13,0.560761109897148
91,EBA,sus,14,0.5658936838263294
92,EBA,sus,15,0.5706408591790589
93,EBA,sus,16,0.5751898304585208
94,EBA,sus,17,0.5792481040919075
95,EBA,sus,18,0.5827680097458419
96,EBA,sus,19,0.5865097540696647
97,EBA,sus,20,0.5895953394523218
98,EBA,sus,21,0.5926330603744703
99,EBA,sus,22,0.5955323088924087
100,EBA,sus,23,0.5980520590144675
101,EBA,sus,24,0.6007550975937661
102,EBA,sus,25,0.6033327907930193
103,EBA,sus,26,0.605659762105476
104,EBA,sus,27,0.6077658579448848
105,EBA,sus,28,0.6098581613591951
106,EBA,sus,29,0.611838448090358
107,EBA,sus,30,0.613857567998197
108,EBA,sus,31,0.6158981813087853
109,EBA,sus,32,0.617752298522223
110,EBA,sus,33,0.6193627055367793
111,EBA,sus,34,0.6209820464219764
112,EBA,sus,35,0.6225867661120403
113,EBA,sus,36,0.6240821602679976
114,EBA,sus,37,0.6255054679640716
115,EBA,sus,38,0.6268683004410779
116,EBA,sus,39,0.628347025833341
117,EVC,sus,1,0.5992055462234952
118,EVC,sus,2,0.6403015041778736
119,EVC,sus,3,0.6628455213970358
120,EVC,sus,4,0.6796522206573254
121,EVC,sus,5,0.6923698242597335
122,EVC,sus,6,0.7028130478469544
123,EVC,sus,7,0.7123625131612864
124,EVC,sus,8,0.7204825927765022
125,EVC,sus,9,0.7268256723823044
126,EVC,sus,10,0.7321775883550979
127,EVC,sus,11,0.7369054122124633
128,EVC,sus,12,0.7413906922003142
129,EVC,sus,13,0.7452535850421853
130,EVC,sus,14,0.7486661749577724
131,EVC,sus,15,0.7518322935335779
132,EVC,sus,16,0.7547453009862577
133,EVC,sus,17,0.7573454409547284
134,EVC,sus,18,0.7598050945837564
135,EVC,sus,19,0.7622712823549381
136,EVC,sus,20,0.7644419421186649
137,EVC,sus,21,0.766278427725197
138,EVC,sus,22,0.7680735391074178
139,EVC,sus,23,0.7697696645597841
140,EVC,sus,24,0.7712490167880957
141,EVC,sus,25,0.7727382238437241
142,EVC,sus,26,0.7741675957726967
143,EVC,sus,27,0.7754189921675383
144,EVC,sus,28,0.7767289841168654
145,EVC,sus,29,0.7778364282382905
146,EVC,sus,30,0.7789718626000612
147,EVC,sus,31,0.780042408867384
148,EVC,sus,32,0.7810231840273405
149,EVC,sus,33,0.7819903957866939
150,EVC,sus,34,0.782970158206827
151,EVC,sus,35,0.7837788084102013
152,EVC,sus,36,0.784610365672068
153,EVC,sus,37,0.7853336210298807
154,EVC,sus,38,0.786027166557415
155,EVC,sus,39,0.7866759312215389
156,FFA,miniblock,1,0.4232023104694952
157,FFA,miniblock,2,0.4749755765289052
158,FFA,miniblock,3,0.5098119828733794
159,FFA,miniblock,4,0.5338337398336003
160,FFA,miniblock,5,0.5531018289193628
161,FFA,miniblock,6,0.5695158066792012
162,FFA,miniblock,7,0.5848260177224722
163,FFA,miniblock,8,0.5967802273891865
164,FFA,miniblock,9,0.6070998162203833
165,FFA,miniblock,10,0.6150907526099366
166,FFA,miniblock,11,0.6221577033923138
167,FFA,miniblock,12,0.6292875945156453
168,FFA,miniblock,13,0.6357890555252982
169,FFA,miniblock,14,0.6415872381674588
170,FFA,miniblock,15,0.6472113728566649
171,FFA,miniblock,16,0.652039433324179
172,FFA,miniblock,17,0.6567055813794578
173,FFA,miniblock,18,0.6614640623525243
174,FFA,miniblock,19,0.6658454801720733
175,FFA,miniblock,20,0.6700392274406818
176,FFA,miniblock,21,0.6738204560987999
177,FFA,miniblock,22,0.6774493019940399
178,FFA,miniblock,23,0.6808386236773393
179,FFA,miniblock,24,0.6840692191824772
180,FFA,miniblock,25,0.6871687570159837
181,FFA,miniblock,26,0.6900949700641742
182,FFA,miniblock,27,0.6929287786770919
183,FFA,miniblock,28,0.695777787693196
184,FFA,miniblock,29,0.6982813687347165
185,FFA,miniblock,30,0.7007052242639834
186,FFA,miniblock,31,0.7031853927153499
187,FFA,miniblock,32,0.7053885989227064
188,FFA,miniblock,33,0.7072931702063838
189,FFA,miniblock,34,0.7093357070548432
190,FFA,miniblock,35,0.7112994585990569
191,FFA,miniblock,36,0.7131548310419387
192,FFA,miniblock,37,0.7148673360324296
193,FFA,miniblock,38,0.7165324486081769
194,FFA,miniblock,39,0.7182979756720173
195,PPA,miniblock,1,0.296638009815421
196,PPA,miniblock,2,0.36142114864562147
197,PPA,miniblock,3,0.4016276659570984
198,PPA,miniblock,4,0.4310017746631153
199,PPA,miniblock,5,0.45201548486751986
200,PPA,miniblock,6,0.4693681878227075
201,PPA,miniblock,7,0.4836702878522188
202,PPA,miniblock,8,0.497120598943836
203,PPA,miniblock,9,0.508837122461834
204,PPA,miniblock,10,0.5204045420755705
205,PPA,miniblock,11,0.5295856645263214
206,PPA,miniblock,12,0.5382002952944792
207,PPA,miniblock,13,0.5462574880550165
208,PPA,miniblock,14,0.5546462809769921
209,PPA,miniblock,15,0.5618078346219401
210,PPA,miniblock,16,0.5678066031174632
211,PPA,miniblock,17,0.5738598776411015
212,PPA,miniblock,18,0.5796581495772505
