subject,runtype,smoothing,median_rel,mean_rel,ROI,comparison
04,miniblock,unsmoothed,0.018789614023891614,0.024307438821484346,visually_responsive_voxels,1
04,miniblock,unsmoothed,0.028435064837011192,0.03512895685144988,visually_responsive_voxels,2
04,miniblock,unsmoothed,0.02270314722397776,0.02636417164677023,visually_responsive_voxels,3
04,miniblock,sm_2_vox,0.05146323257500163,0.06612056672021589,visually_responsive_voxels,1
04,miniblock,sm_2_vox,0.040433807767940616,0.05794662757083765,visually_responsive_voxels,2
04,miniblock,sm_2_vox,0.01947241669148273,0.029447212599721818,visually_responsive_voxels,3
04,sus,unsmoothed,0.06519356475518212,0.06853840790556386,visually_responsive_voxels,1
04,sus,unsmoothed,0.0411423696717159,0.047063145294193774,visually_responsive_voxels,2
04,sus,unsmoothed,0.036363694457542936,0.04187924198965005,visually_responsive_voxels,3
04,sus,sm_2_vox,0.11727565359583797,0.12156530044596135,visually_responsive_voxels,1
04,sus,sm_2_vox,0.0728108238531426,0.079053907303394,visually_responsive_voxels,2
04,sus,sm_2_vox,0.04658476130589415,0.05652583011528298,visually_responsive_voxels,3
04,er,unsmoothed,0.010566561336588183,0.009902946481582482,visually_responsive_voxels,1
04,er,unsmoothed,0.022851299404329645,0.022135863520076612,visually_responsive_voxels,2
04,er,unsmoothed,-0.018815475394287448,-0.01699434237968893,visually_responsive_voxels,3
04,er,sm_2_vox,0.006822431132040861,0.00800308750542319,visually_responsive_voxels,1
04,er,sm_2_vox,0.05562000515776111,0.05784006205294347,visually_responsive_voxels,2
04,er,sm_2_vox,0.03301154478635707,0.03540092486124504,visually_responsive_voxels,3
04,miniblock,unsmoothed,0.06808966687624801,0.08056738110604157,FFA,1
04,miniblock,unsmoothed,0.10690320625215174,0.11288669217633145,FFA,2
04,miniblock,unsmoothed,0.0940649164311253,0.10960905118405803,FFA,3
04,miniblock,sm_2_vox,0.2544216706347911,0.24174233862789724,FFA,1
04,miniblock,sm_2_vox,0.3052632964100743,0.2784730763465463,FFA,2
04,miniblock,sm_2_vox,0.31020169395824343,0.2724133334122846,FFA,3
04,sus,unsmoothed,0.12544938891544324,0.13306022904183562,FFA,1
04,sus,unsmoothed,0.14522872506785567,0.14271165403809222,FFA,2
04,sus,unsmoothed,0.13325390150237248,0.16047190451111365,FFA,3
04,sus,sm_2_vox,0.3516693839831284,0.32868137390245256,FFA,1
04,sus,sm_2_vox,0.3498169199260247,0.3247131596014693,FFA,2
04,sus,sm_2_vox,0.38198035833429755,0.36282481400816524,FFA,3
04,er,unsmoothed,0.03160924201851571,0.02566661187917266,FFA,1
04,er,unsmoothed,0.034709935663234825,0.03491507763937917,FFA,2
04,er,unsmoothed,0.018988966224373204,0.0193407535112035,FFA,3
04,er,sm_2_vox,0.09519955370981487,0.08415966879412602,FFA,1
04,er,sm_2_vox,0.11847876674566182,0.11278861119304183,FFA,2
04,er,sm_2_vox,0.16986033254781974,0.15442632476299403,FFA,3
04,miniblock,unsmoothed,0.019343077461200342,0.019494385555223606,PPA,1
04,miniblock,unsmoothed,0.03349325169865105,0.029594184661930426,PPA,2
04,miniblock,unsmoothed,0.037390891418974975,0.03731129001346616,PPA,3
04,miniblock,sm_2_vox,0.023576100114440862,0.030828080638325032,PPA,1
04,miniblock,sm_2_vox,0.06888250533515201,0.05679537258217207,PPA,2
04,miniblock,sm_2_vox,0.17713698551432455,0.18114598529616527,PPA,3
04,sus,unsmoothed,0.03062744307823246,0.0625412119548078,PPA,1
04,sus,unsmoothed,0.04600729044255532,0.0402275550709734,PPA,2
04,sus,unsmoothed,0.02338739561027628,0.04571564581186889,PPA,3
04,sus,sm_2_vox,0.19406294233268062,0.17946952935381194,PPA,1
04,sus,sm_2_vox,0.1345651775123076,0.12007098734263866,PPA,2
04,sus,sm_2_vox,0.189198623348504,0.20624978910849026,PPA,3
04,er,unsmoothed,0.05388825777989754,0.042088898060407116,PPA,1
04,er,unsmoothed,0.009310141191001126,0.009865907954723856,PPA,2
04,er,unsmoothed,0.010860943672692872,-0.015484211059702293,PPA,3
04,er,sm_2_vox,0.059527222990511844,0.07605089094715263,PPA,1
04,er,sm_2_vox,0.08449406381360061,0.08084104723191862,PPA,2
04,er,sm_2_vox,0.11413701905335255,0.1146254001965727,PPA,3
04,miniblock,unsmoothed,0.04073542354784672,0.0522695223430961,EBA,1
04,miniblock,unsmoothed,0.0637142658039592,0.0729435468118528,EBA,2
04,miniblock,unsmoothed,0.06599680905758687,0.07353128801256838,EBA,3
04,miniblock,sm_2_vox,0.14157211285164878,0.1454832524763075,EBA,1
04,miniblock,sm_2_vox,0.11446823259989808,0.11793186379563916,EBA,2
04,miniblock,sm_2_vox,0.10597985949212388,0.12585451293427408,EBA,3
04,sus,unsmoothed,0.0855854048439197,0.0858508535555319,EBA,1
04,sus,unsmoothed,0.09076326103160862,0.09268558446732303,EBA,2
04,sus,unsmoothed,0.09051459308375426,0.10335918843434001,EBA,3
04,sus,sm_2_vox,0.13669200740921122,0.15503743379001714,EBA,1
04,sus,sm_2_vox,0.23955283408058545,0.21789240330024023,EBA,2
04,sus,sm_2_vox,0.2217677552356705,0.2260810958010347,EBA,3
04,er,unsmoothed,-0.018196534633001943,-0.01385079045214109,EBA,1
04,er,unsmoothed,0.034996396830356866,0.034218651498171986,EBA,2
04,er,unsmoothed,0.0014626488630455903,0.0004318142151380897,EBA,3
04,er,sm_2_vox,-0.0006788785713703546,0.015973324108608303,EBA,1
04,er,sm_2_vox,0.06703275208905116,0.06791408774706617,EBA,2
04,er,sm_2_vox,0.14397052826740428,0.1448274640365459,EBA,3
04,miniblock,unsmoothed,0.03486254427959723,0.04748846317184555,EVC,1
04,miniblock,unsmoothed,0.06862881916804842,0.08131451388887871,EVC,2
04,miniblock,unsmoothed,0.04938385762187095,0.05881225095896298,EVC,3
04,miniblock,sm_2_vox,0.0834127712461129,0.11322890586382532,EVC,1
04,miniblock,sm_2_vox,0.15276794948394373,0.1807813308044369,EVC,2
04,miniblock,sm_2_vox,0.056883700281885746,0.07889824792457237,EVC,3
04,sus,unsmoothed,0.07546242660896865,0.0834377195818535,EVC,1
04,sus,unsmoothed,0.07264599071277933,0.08024327926621697,EVC,2
04,sus,unsmoothed,0.06244329097664461,0.06488998252384874,EVC,3
04,sus,sm_2_vox,0.176688875191162,0.18119375329769075,EVC,1
04,sus,sm_2_vox,0.153424772403457,0.1555511088476962,EVC,2
04,sus,sm_2_vox,0.07343005748435784,0.08876290027381446,EVC,3
04,er,unsmoothed,0.01218890725932174,0.010457408952655359,EVC,1
04,er,unsmoothed,0.03776340058441832,0.03739082958558086,EVC,2
04,er,unsmoothed,-0.01629603285208297,-0.014192815277166215,EVC,3
04,er,sm_2_vox,0.025723106414715098,0.03368802316244541,EVC,1
04,er,sm_2_vox,0.1288683421167436,0.12569463852930052,EVC,2
04,er,sm_2_vox,0.06973926226336523,0.07311747164812855,EVC,3
