,ROI,Design,Subject,Accuracy,group
410,PPA,miniblock,19,74.60526275634766,scene
411,PPA,miniblock,20,46.66666793823242,isanimate
412,PPA,miniblock,20,60.74074172973633,inanimate
413,PPA,miniblock,20,48.28947448730469,scene
414,PPA,miniblock,21,48.51852035522461,isanimate
415,PPA,miniblock,21,51.48147964477539,inanimate
416,PPA,miniblock,21,55.175437927246094,scene
417,PPA,miniblock,22,52.407405853271484,isanimate
418,PPA,miniblock,22,71.29629516601562,inanimate
419,PPA,miniblock,22,61.05263137817383,scene
420,PPA,sus,01,53.33333206176758,isanimate
421,PPA,sus,01,58.14814758300781,inanimate
422,PPA,sus,01,49.25438690185547,scene
423,PPA,sus,02,79.62963104248047,isanimate
424,PPA,sus,02,91.48148345947266,inanimate
425,PPA,sus,02,81.09648895263672,scene
426,PPA,sus,03,56.296295166015625,isanimate
427,PPA,sus,03,51.48147964477539,inanimate
428,PPA,sus,03,55.78947448730469,scene
429,PPA,sus,04,73.14814758300781,isanimate
430,PPA,sus,04,79.25926208496094,inanimate
431,PPA,sus,04,78.9473648071289,scene
432,PPA,sus,05,52.03703689575195,isanimate
433,PPA,sus,05,52.407405853271484,inanimate
434,PPA,sus,05,46.27193069458008,scene
435,PPA,sus,06,61.85185241699219,isanimate
436,PPA,sus,06,54.62963104248047,inanimate
437,PPA,sus,06,49.122806549072266,scene
438,PPA,sus,07,52.592594146728516,isanimate
439,PPA,sus,07,55.925926208496094,inanimate
440,PPA,sus,07,53.20175552368164,scene
441,PPA,sus,08,57.96296310424805,isanimate
442,PPA,sus,08,58.33333206176758,inanimate
443,PPA,sus,08,59.078948974609375,scene
444,PPA,sus,10,59.074073791503906,isanimate
445,PPA,sus,10,59.62963104248047,inanimate
446,PPA,sus,10,54.64912414550781,scene
447,PPA,sus,11,41.48147964477539,isanimate
448,PPA,sus,11,54.44444274902344,inanimate
449,PPA,sus,11,58.94736862182617,scene
450,PPA,sus,12,80.0,isanimate
451,PPA,sus,12,89.81481170654297,inanimate
452,PPA,sus,12,84.78070068359375,scene
453,PPA,sus,13,51.66666793823242,isanimate
454,PPA,sus,13,57.96296310424805,inanimate
455,PPA,sus,13,52.41228103637695,scene
456,PPA,sus,14,54.25925827026367,isanimate
457,PPA,sus,14,51.296295166015625,inanimate
458,PPA,sus,14,53.157894134521484,scene
459,PPA,sus,15,54.814815521240234,isanimate
460,PPA,sus,15,56.11111068725586,inanimate
461,PPA,sus,15,58.114036560058594,scene
462,PPA,sus,17,48.33333206176758,isanimate
463,PPA,sus,17,52.77777862548828,inanimate
464,PPA,sus,17,54.42982482910156,scene
465,PPA,sus,18,57.96296310424805,isanimate
466,PPA,sus,18,53.14814758300781,inanimate
467,PPA,sus,18,56.18421173095703,scene
468,PPA,sus,19,74.44444274902344,isanimate
469,PPA,sus,19,75.55555725097656,inanimate
470,PPA,sus,19,73.02631378173828,scene
471,PPA,sus,20,51.11111068725586,isanimate
472,PPA,sus,20,72.22222137451172,inanimate
473,PPA,sus,20,48.903507232666016,scene
474,PPA,sus,21,61.66666793823242,isanimate
475,PPA,sus,21,48.14814758300781,inanimate
476,PPA,sus,21,48.903507232666016,scene
477,PPA,sus,22,54.25925827026367,isanimate
478,PPA,sus,22,55.925926208496094,inanimate
479,PPA,sus,22,66.18421173095703,scene
480,PPA,er,01,46.85185241699219,isanimate
481,PPA,er,01,48.33333206176758,inanimate
482,PPA,er,01,54.91228103637695,scene
483,PPA,er,02,62.22222137451172,isanimate
484,PPA,er,02,73.14814758300781,inanimate
485,PPA,er,02,66.09648895263672,scene
486,PPA,er,03,51.85185241699219,isanimate
487,PPA,er,03,54.44444274902344,inanimate
488,PPA,er,03,48.94736862182617,scene
489,PPA,er,04,53.33333206176758,isanimate
490,PPA,er,04,73.70370483398438,inanimate
491,PPA,er,04,67.36842346191406,scene
492,PPA,er,05,48.703704833984375,isanimate
493,PPA,er,05,45.74074172973633,inanimate
494,PPA,er,05,50.394737243652344,scene
495,PPA,er,06,58.703704833984375,isanimate
496,PPA,er,06,44.62963104248047,inanimate
497,PPA,er,06,47.938594818115234,scene
498,PPA,er,07,47.96296310424805,isanimate
499,PPA,er,07,53.14814758300781,inanimate
500,PPA,er,07,48.157894134521484,scene
501,PPA,er,08,49.074073791503906,isanimate
502,PPA,er,08,55.925926208496094,inanimate
503,PPA,er,08,50.83333206176758,scene
504,PPA,er,10,49.62963104248047,isanimate
505,PPA,er,10,58.33333206176758,inanimate
506,PPA,er,10,55.614036560058594,scene
507,PPA,er,11,54.62963104248047,isanimate
508,PPA,er,11,52.96296310424805,inanimate
509,PPA,er,11,54.956138610839844,scene
510,PPA,er,12,57.77777862548828,isanimate
511,PPA,er,12,64.81481170654297,inanimate
512,PPA,er,12,71.0526351928711,scene
513,PPA,er,13,54.074073791503906,isanimate
514,PPA,er,13,49.074073791503906,inanimate
515,PPA,er,13,58.421051025390625,scene
516,PPA,er,14,52.96296310424805,isanimate
517,PPA,er,14,51.85185241699219,inanimate
518,PPA,er,14,50.657894134521484,scene
519,PPA,er,15,47.407405853271484,isanimate
520,PPA,er,15,49.074073791503906,inanimate
521,PPA,er,15,52.28070068359375,scene
522,PPA,er,17,42.96296310424805,isanimate
523,PPA,er,17,53.51852035522461,inanimate
524,PPA,er,17,51.53508758544922,scene
525,PPA,er,18,63.33333206176758,isanimate
526,PPA,er,18,52.77777862548828,inanimate
527,PPA,er,18,52.01754379272461,scene
528,PPA,er,19,68.14814758300781,isanimate
529,PPA,er,19,73.33333587646484,inanimate
530,PPA,er,19,64.03508758544922,scene
531,PPA,er,20,47.96296310424805,isanimate
532,PPA,er,20,41.296295166015625,inanimate
533,PPA,er,20,49.21052551269531,scene
